localID,teamName,firstName,lastName,primaryPosition,pitcherRole,power,contact,speed,fielding,arm,velocity,junk,accuracy,age,trait,subType
8422,"Goat Herd",Brett,Barrett,8,,78,67,85,69,50,,,,26,17,6
8424,"Prime Time",Bruce,Wayne,2,,40,92,82,65,92,,,,25,34,6
8425,"Prime Time",Scuffy,McGee,4,,89,80,84,55,98,,,,21,1,1
8426,"Prime Time",Maximillian,Reible,5,,99,50,55,99,99,,,,31,36,6
8427,"Prime Time",Kevin,Gohd,6,,70,99,82,86,94,,,,37,16,6
8428,"Prime Time",Lauren,Remy,7,,95,79,64,63,71,,,,31,12,11
8428,"Prime Time",Lauren,Remy,7,,95,79,64,63,71,,,,31,17,7
8429,"Prime Time",Tim,Koogs,1,1,68,44,13,65,,99,95,90,33,19,6
8429,"Prime Time",Tim,Koogs,1,1,68,44,13,65,,99,95,90,33,22,14
8430,"Mashing Monsters",Daddy,Dimmu,2,,99,99,9,73,70,,,,24,10,8
8430,"Mashing Monsters",Daddy,Dimmu,2,,99,99,9,73,70,,,,24,26,7
8431,"Mashing Monsters",Chandler,Sartain,3,,65,99,56,89,29,,,,23,32,6
8431,"Mashing Monsters",Chandler,Sartain,3,,65,99,56,89,29,,,,23,36,7
8432,"Mashing Monsters",King,Shelfy,5,,99,89,80,99,99,,,,26,1,0
8432,"Mashing Monsters",King,Shelfy,5,,99,89,80,99,99,,,,26,34,6
8433,"Mashing Monsters",Your,FriendKyle,8,,99,20,55,48,60,,,,37,0,0
8434,"Mashing Monsters",Adam,Samuels,7,,20,20,99,99,99,,,,30,26,6
8435,"Mashing Monsters",Caden,Sartain,9,,68,90,75,65,88,,,,26,3,3
9139,"Can O' Corns",Fuzzy,FromYT,8,,97,95,83,79,90,,,,24,4,6
9139,"Can O' Corns",Fuzzy,FromYT,8,,97,95,83,79,90,,,,24,33,25
9140,"Can O' Corns",Foolish,Baseball,1,3,43,25,19,38,,25,99,50,34,22,21
9141,"Can O' Corns",GiraffeNeck,Marc,2,,41,67,67,97,99,,,,27,17,6
9141,"Can O' Corns",GiraffeNeck,Marc,2,,41,67,67,97,99,,,,27,36,6
9142,"Can O' Corns",Jared,Carrabis,1,1,79,52,95,78,,58,75,40,31,32,6
9143,"Can O' Corns",Littleman,17,4,,97,97,17,97,17,,,,21,3,2
9144,"Can O' Corns",Chaison,Miklich,5,,91,91,19,91,91,,,,21,12,10
11245,"Mashing Monsters",Hito,Moonshota,5,,98,68,30,88,93,,,,28,3,2
11246,"Mashing Monsters",Buttons,Bunterson,6,,46,99,92,92,82,,,,25,26,6
11246,"Mashing Monsters",Buttons,Bunterson,6,,46,99,92,92,82,,,,25,40,6
11248,"Jomboy Media",Huffly,Buffler,4,,91,90,28,75,58,,,,25,26,7
11248,"Jomboy Media",Huffly,Buffler,4,,91,90,28,75,58,,,,25,36,7
11261,"Goat Herd",Jacques,"O'Ften",2,,87,49,69,76,81,,,,36,14,6
11261,"Goat Herd",Jacques,"O'Ften",2,,87,49,69,76,81,,,,36,33,25
11263,"Can O' Corns",Sakda,Song,3,,80,93,90,93,57,,,,25,0,0
11263,"Can O' Corns",Sakda,Song,3,,80,93,90,93,57,,,,25,10,9
11271,"Mashing Monsters",Steve,Bedrosian,1,3,0,6,4,40,,88,71,42,27,21,7
11272,"Jomboy Media",Johnny,Bench,2,,83,60,49,74,96,,,,24,2,6
11273,"Girls & Co.",George,Brett,5,,64,91,79,70,62,,,,33,1,0
11273,"Girls & Co.",George,Brett,5,,64,91,79,70,62,,,,33,2,6
11281,"Goat Herd",Eddie,Mathews,5,,92,70,27,76,92,,,,21,3,2
11281,"Goat Herd",Eddie,Mathews,5,,92,70,27,76,92,,,,21,17,7
11283,"Girls & Co.",Jorge,Posada,2,,71,42,45,25,74,,,,32,17,6
11290,"Jomboy Media",Bella,Mietballe,1,1,39,64,11,93,,14,25,34,32,39,7
11292,"Pinstripe Strong",Johnny,Bags,9,,66,73,75,35,70,,,,23,32,6
11331,"Girls & Co.",Lucy,Finnegans,1,3,25,28,43,60,,53,69,29,28,22,15
11334,"Prime Time",Shay,Dee,1,3,29,17,32,94,,84,51,95,31,19,7
11334,"Prime Time",Shay,Dee,1,3,29,17,32,94,,84,51,95,31,35,6
11344,"Girls & Co.",Tucker,Turlington,1,3,12,8,7,40,,53,85,51,37,22,21
11344,"Girls & Co.",Tucker,Turlington,1,3,12,8,7,40,,53,85,51,37,32,6
11351,"Goat Herd",Harry,Backman,2,,95,71,58,33,39,,,,31,4,7
11353,"Can O' Corns",Jock,Sports,6,,89,98,57,93,71,,,,29,36,6
11354,"We Got Ice",Doc,Simpleman,1,3,22,26,28,58,,61,53,53,37,19,7
11354,"We Got Ice",Doc,Simpleman,1,3,22,26,28,58,,61,53,53,37,34,6
11364,"Goat Herd",Kay,Frequin,1,4,8,2,32,34,,99,84,97,31,7,6
11364,"Goat Herd",Kay,Frequin,1,4,8,2,32,34,,99,84,97,31,22,15
11375,"Mashing Monsters",Rhonda,Horne,5,,94,69,83,46,45,,,,29,4,7
11380,"Goat Herd",Elmo,Slayer,1,1,16,0,7,79,,72,94,95,23,7,6
11381,"Can O' Corns",Hurley,Bender,1,1,12,8,23,67,,73,99,86,23,22,17
11384,"Prime Time",Immaculo,Spectaculo,1,3,2,12,11,56,,84,95,79,25,21,7
11417,"Jomboy Media",Phil,Flusterer,1,4,4,12,3,44,,54,77,76,27,39,7
11432,"We Got Ice",Beefcake,McStevens,5,,83,96,74,57,65,,,,27,0,1
11432,"We Got Ice",Beefcake,McStevens,5,,83,96,74,57,65,,,,27,3,2
11440,"Can O' Corns",Alisha,Woodrow,1,1,30,4,23,64,,87,77,99,31,19,6
11455,"Mashing Monsters",Hammer,Longballo,9,,99,78,60,58,75,,,,29,0,0
11455,"Mashing Monsters",Hammer,Longballo,9,,99,78,60,58,75,,,,29,10,8
11477,"Girls & Co.",Ice,Vainer,1,4,3,13,57,40,,87,93,46,31,6,6
11494,"Pinstripe Strong",Chico,Lapada,1,4,8,17,24,71,,79,96,62,31,6,7
11494,"Pinstripe Strong",Chico,Lapada,1,4,8,17,24,71,,79,96,62,31,18,7
11497,"Can O' Corns",Hack,Liner,5,,92,87,65,57,86,,,,31,12,10
11497,"Can O' Corns",Hack,Liner,5,,92,87,65,57,86,,,,31,16,6
11508,"Girls & Co.",Maggie,Rags,4,,26,17,67,92,98,,,,28,9,6
11520,"Jomboy Media",Derr,Neverwocker,1,3,5,15,54,71,,90,87,73,21,6,6
11522,"Goat Herd",Maurice,Brick,1,1,16,15,13,81,,76,96,52,22,23,6
11522,"Goat Herd",Maurice,Brick,1,1,16,15,13,81,,76,96,52,22,33,26
11526,"Jomboy Media",Whopper,Batsman,4,,81,15,50,49,37,,,,23,4,6
11564,"Can O' Corns",Juice,Jackson,5,,95,88,43,68,70,,,,22,10,9
11564,"Can O' Corns",Juice,Jackson,5,,95,88,43,68,70,,,,22,35,6
11574,"Pinstripe Strong",Archie,Alonso,1,3,10,8,38,55,,50,74,58,27,6,6
11575,"Mashing Monsters",Knox,Oxensocksen,2,,11,96,79,92,77,,,,29,12,11
11591,"Pinstripe Strong",Buzz,Pastimm,1,2,14,26,3,56,,87,29,65,31,5,12
11591,"Pinstripe Strong",Buzz,Pastimm,1,2,14,26,3,56,,87,29,65,31,22,14
11592,"Mashing Monsters",Squinch,Tootwhistle,4,,97,85,69,55,49,,,,37,1,0
11592,"Mashing Monsters",Squinch,Tootwhistle,4,,97,85,69,55,49,,,,37,30,7
11608,"Pinstripe Strong",Cozy,Spooner,2,,42,32,29,66,39,,,,20,11,6
11613,"We Got Ice",Batch,Wilson,8,,39,75,52,77,71,,,,38,11,6
11619,"Girls & Co.",Thurman,Colt,8,,70,45,83,31,49,,,,32,17,6
11630,"Prime Time",Rogan,Balls,1,4,26,7,11,45,,82,43,34,29,22,16
11634,"Goat Herd",Taylor,McWhales,1,3,3,13,16,48,,99,51,62,31,20,6
11634,"Goat Herd",Taylor,McWhales,1,3,3,13,16,48,,99,51,62,31,34,6
11637,"Goat Herd",Mack,Gunn,1,3,11,7,17,79,,98,68,75,29,19,6
11637,"Goat Herd",Mack,Gunn,1,3,11,7,17,79,,98,68,75,29,22,16
11639,"Pinstripe Strong",Nacho,Crisp,6,,70,53,61,69,69,,,,27,28,6
11640,"We Got Ice",Ella,Roids,9,,80,52,23,71,79,,,,21,35,6
11643,"Can O' Corns",Handley,Dexterez,6,,63,87,87,97,74,,,,29,9,6
11643,"Can O' Corns",Handley,Dexterez,6,,63,87,87,97,74,,,,29,10,8
11648,"Jomboy Media",Yoyo,Yamamoto,5,,50,86,34,66,86,,,,29,16,6
11658,"We Got Ice",Rip,Dingers,5,,97,50,40,42,90,,,,25,0,1
11658,"We Got Ice",Rip,Dingers,5,,97,50,40,42,90,,,,25,3,3
11669,"We Got Ice",Dick,Burger,5,,97,16,65,36,42,,,,29,38,6
11674,"Girls & Co.",Rick,Ankiel,1,1,65,5,57,42,,90,5,3,20,24,22
11674,"Girls & Co.",Rick,Ankiel,1,1,65,5,57,42,,90,5,3,20,31,7
11681,"Girls & Co.",Ernie,Banks,3,,86,80,25,95,22,,,,34,0,0
11681,"Girls & Co.",Ernie,Banks,3,,86,80,25,95,22,,,,34,29,6
11688,"Girls & Co.",Bert,Blyleven,1,1,7,1,5,82,,62,73,93,36,5,13
11688,"Girls & Co.",Bert,Blyleven,1,1,7,1,5,82,,62,73,93,36,22,17
11692,"Girls & Co.",Chad,Bradford,1,3,7,0,0,85,,2,72,50,32,21,7
11693,"Goat Herd",Ryan,Braun,7,,96,62,51,37,54,,,,29,0,1
11711,"We Got Ice",Craig,Counsell,4,,17,49,68,90,71,,,,31,1,0
11716,"Prime Time",Andre,Dawson,8,,72,62,83,69,60,,,,39,0,1
11722,"Prime Time",Jim,Edmonds,8,,86,43,61,92,87,,,,21,17,7
11722,"Prime Time",Jim,Edmonds,8,,86,43,61,92,87,,,,21,37,6
11726,"Can O' Corns",Bob,Feller,1,1,15,5,5,50,,90,74,43,18,32,6
11729,"Goat Herd",John,Franco,1,3,0,4,27,78,,62,81,60,33,32,6
11734,"Goat Herd",David,Ortiz,3,,98,99,16,25,42,,,,28,3,3
11734,"Goat Herd",David,Ortiz,3,,98,99,16,25,42,,,,28,32,6
11740,"Can O' Corns",Goose,Gossage,1,4,6,3,3,35,,97,86,60,35,20,6
11740,"Can O' Corns",Goose,Gossage,1,4,6,3,3,35,,97,86,60,35,22,15
11742,"Jomboy Media",Curtis,Granderson,8,,81,35,57,85,55,,,,38,26,6
11744,"Prime Time",Vladimir,Guerrero,9,,83,87,62,12,75,,,,23,11,6
11744,"Prime Time",Vladimir,Guerrero,9,,83,87,62,12,75,,,,23,36,6
11745,"Jomboy Media",Ron,Guidry,1,2,4,7,0,68,,88,24,84,23,18,6
11752,"Pinstripe Strong",LaTroy,Hawkins,1,3,3,0,2,66,,75,48,68,23,22,14
11753,"Mashing Monsters",Tom,Henke,1,3,5,6,3,64,,63,96,68,38,19,7
11757,"Goat Herd",Ryan,Howard,3,,96,11,41,44,9,,,,32,0,0
11757,"Goat Herd",Ryan,Howard,3,,96,11,41,44,9,,,,32,17,7
11760,"We Got Ice",Tommy,John,1,2,9,5,5,94,,62,58,90,26,6,6
11760,"We Got Ice",Tommy,John,1,2,9,5,5,94,,62,58,90,26,34,7
11761,"Mashing Monsters",Randy,Johnson,1,1,7,1,7,11,,98,86,74,23,7,6
11761,"Mashing Monsters",Randy,Johnson,1,1,7,1,7,11,,98,86,74,23,22,18
11762,"Can O' Corns",Andruw,Jones,8,,87,33,75,98,81,,,,32,37,6
11766,"Can O' Corns",Chuck,Knoblauch,4,,33,80,95,34,59,,,,20,13,6
11766,"Can O' Corns",Chuck,Knoblauch,4,,33,80,95,34,59,,,,20,30,7
11772,"Prime Time",Al,Leiter,1,2,5,7,14,44,,68,88,25,24,34,6
11772,"Prime Time",Al,Leiter,1,2,5,7,14,44,,68,88,25,24,39,7
11777,"Pinstripe Strong",Derek,Lowe,1,2,7,3,22,86,,38,65,70,28,6,6
11781,"Pinstripe Strong",Tippy,Martinez,1,3,2,3,3,58,,32,78,9,36,18,6
11782,"Girls & Co.",Joe,Mauer,2,,62,84,36,67,93,,,,22,33,25
11785,"Prime Time",Fred,McGriff,3,,89,58,59,56,15,,,,24,0,0
11787,"Pinstripe Strong",Paul,Molitor,5,,54,92,93,69,66,,,,36,3,4
11787,"Pinstripe Strong",Paul,Molitor,5,,54,92,93,69,66,,,,36,32,6
11793,"Pinstripe Strong",Mike,Mussina,1,1,3,6,14,87,,67,55,97,37,20,6
11793,"Pinstripe Strong",Mike,Mussina,1,1,3,6,14,87,,67,55,97,37,22,17
11798,"We Got Ice",Roy,Oswalt,1,1,5,4,8,75,,67,52,82,33,6,6
11802,"Girls & Co.",Mike,Piazza,2,,90,77,41,56,30,,,,19,35,6
11816,"Jomboy Media",Babe,Ruth,1,1,99,96,20,58,,67,86,58,31,24,22
11816,"Jomboy Media",Babe,Ruth,1,1,99,96,20,58,,67,86,58,31,33,26
11817,"Goat Herd",Nolan,Ryan,1,1,3,7,21,19,,99,98,24,36,7,6
11817,"Goat Herd",Nolan,Ryan,1,1,3,7,21,19,,99,98,24,36,22,14
11818,"Mashing Monsters",Bret,Saberhagen,1,1,3,3,18,80,,80,12,95,33,22,14
11821,"Can O' Corns",Ron,Santo,5,,87,83,19,91,97,,,,30,37,6
11823,"Mashing Monsters",Mike,Schmidt,5,,96,54,79,98,96,,,,35,29,6
11823,"Mashing Monsters",Mike,Schmidt,5,,96,54,79,98,96,,,,35,32,6
11826,"Pinstripe Strong",Tom,Seaver,1,1,17,1,36,64,,89,63,75,26,22,14
11826,"Pinstripe Strong",Tom,Seaver,1,1,17,1,36,64,,89,63,75,26,23,6
11827,"Can O' Corns",Grady,Sizemore,8,,66,40,77,81,35,,,,39,34,7
11828,"Pinstripe Strong",Reggie,Smith,8,,69,68,55,55,68,,,,35,0,0
11828,"Pinstripe Strong",Reggie,Smith,8,,69,68,55,55,68,,,,35,3,2
11830,"Goat Herd",Lee,Smith,1,3,1,1,0,64,,94,72,69,22,5,12
11835,"Mashing Monsters",Bruce,Sutter,1,4,1,6,22,77,,45,90,78,23,7,6
11835,"Mashing Monsters",Bruce,Sutter,1,4,1,6,22,77,,45,90,78,23,20,7
11839,"Prime Time",Luis,Tiant,1,2,19,2,3,48,,56,72,79,26,18,7
11839,"Prime Time",Luis,Tiant,1,2,19,2,3,48,,56,72,79,26,23,6
11846,"Jomboy Media",Shane,Victorino,8,,35,59,82,75,86,,,,30,12,11
11847,"Mashing Monsters",Billy,Wagner,1,4,6,7,16,40,,98,89,62,23,22,14
11855,"Mashing Monsters",Brad,Ziegler,1,3,3,1,6,80,,16,93,60,34,22,18
