"localID","teamName","firstName","lastName","primaryPosition","pitcherRole","power","contact","speed","fielding","arm","velocity","junk","accuracy","age","trait","subType","league","gender","throws","bats","secondaryPosition","jerseyNumber","rating","trait1","chemistry1","trait2","chemistry2","careerStart","careerEnd","fourSeamFastball","twoSeamFastball","screwball","changeup","forkball","curveball","slider","cutFastball","windup","pitchAngle","playerChemistry","salary"
18,"Sawteeth","Junior","Young Sr",2,,70,41,38,76,92,,,,42,1,1,"superMega","",1,1,3,"44",75.70479,"CON vs LHP","Spirited","","","","","","","","","","","","",4,3,"Spirited","6700000.00"
19,"Sawteeth","Grease","Veterano",1,2,6,26,17,70,,28,75,63,32,,,"superMega","",1,1,"","70",86.68163,,,"","","","",1,"","","","",1,1,1,3,1,"Disciplined","5800000.00"
20,"Sawteeth","Brick","Towers",1,3,2,24,48,46,,59,96,48,29,22,18,"superMega","",1,1,"","47",27.76181,"Elite SL","Scholarly","","","","",1,"","","","",1,1,"","",2,"Scholarly","8700000.00"
21,"Sirloins","Manny","Kays",1,1,11,2,67,88,,75,88,77,25,22,15,"superMega","","","","","41",6.96098,"Elite 2F","Scholarly","","","","",1,1,"",1,"",1,"","",2,3,"Disciplined","15700000.00"
22,"Sirloins","Slip","Van'Derwink",1,1,44,2,14,46,,60,76,71,30,18,7,"superMega","","","","","34",84.81684,"Easy Jumps","Crafty","","","","",1,"","",1,1,1,1,"",3,1,"","10100000.00"
23,"Sirloins","Bugsy","Snugs",1,1,18,6,15,37,,77,64,64,31,6,7,"superMega","",1,1,"","44",8.476926,"BB Prone","Disciplined","","","","",1,1,"","","","",1,1,"",2,"Scholarly","9100000.00"
24,"Sirloins","Preston","Addonomus",2,,84,19,48,64,69,,,,37,,,"superMega","",1,2,3,"26",23.88342,,,"","","","","","","","","","","","",4,3,"Spirited","6500000.00"
25,"Sirloins","Lloyd","Cook",4,,80,52,83,72,33,,,,32,3,2,"superMega","",1,"",5,"10",78.08816,"High Pitch","Disciplined","","","","","","","","","","","","",4,3,"Spirited","10800000.00"
26,"Sirloins","Hammer","Longballo",9,,99,78,60,58,75,,,,29,0,0,"superMega","",1,"",12,"90",12.53674,"POW vs RHP","Spirited","Fastball Hitter","Disciplined","","","","","","","","","","",4,3,"","16500000.00"
27,"Sirloins","Willard","Wiggins",6,,66,50,64,46,68,,,,21,2,6,"superMega","",1,"",4,"21",4.668097,"RBI Hero","Spirited","Dive Wizard","Spirited","","","","","","","","","","",4,3,"","7400000.00"
28,"Sirloins","Filet","Jones",7,,97,41,44,55,25,,,,20,36,7,"superMega","",1,1,9,"16",79.0033,"Noodle Arm","Competitive","","","","","","","","","","","","",4,3,"Spirited","5100000.00"
29,"Sirloins","Miguel","Duke",1,3,9,13,47,39,,30,86,18,29,,,"superMega","",1,"","","69",87.01806999999998,,,"","","","",1,"","","","",1,1,"",1,3,"","3300000.00"
30,"Hot Corners","Bobby","Bashe",5,,96,32,75,55,63,,,,24,10,9,"superMega","",1,1,10,"30",69.54022,"Off-speed Hitter","Disciplined","Wild Thrower","Crafty","","","","","","","","","","",4,3,"Spirited","8300000.00"
31,"Sirloins","Madoka","Hayata",5,,48,84,97,43,45,,,,36,30,7,"superMega",1,1,1,6,"43",7.303319,"Wild Thrower","Crafty","","","","","","","","","","","","",4,3,"Scholarly","7900000.00"
32,"Sirloins","Damien","Rush",8,,89,12,93,57,70,,,,31,26,6,"superMega","",1,1,11,"65",27.783649999999998,"Sprinter","Competitive","Magic Hands","Disciplined","","","","","","","","","","",4,3,"Scholarly","7200000.00"
33,"Sirloins","Momo","Tobo",2,,50,48,37,70,80,,,,29,,,"superMega","",1,1,"","27",17.34264,,,"","","","","","","","","","","","",4,3,"Scholarly","4800000.00"
34,"Sirloins","Linus","Digby",1,3,21,6,54,89,,50,55,19,27,,,"superMega","",1,"","","47",26.26541,,,"","","","",1,"","",1,"",1,1,"",4,2,"","3200000.00"
35,"Sirloins","Javier","Cortez",7,,65,32,46,44,64,,,,27,8,6,"superMega","","","",11,"17",74.19608,"Stealer","Crafty","","","","","","","","","","","","",4,3,"Scholarly","4300000.00"
36,"Sirloins","Mick","Steeyle",3,,84,35,45,28,21,,,,27,15,6,"superMega","",1,"","","25",2.021098,"Pinch perfect","Disciplined","","","","","","","","","","","","",4,3,"Spirited","4300000.00"
37,"Sirloins","Franz","Zilla",1,4,5,2,19,58,,85,39,25,32,7,6,"superMega","",1,1,"","49",13.495979999999998,"K Collector","Competitive","","","","",1,"","","","","",1,"",4,3,"Scholarly","3600000.00"
38,"Jacks","Betty","Sparks",9,,97,26,37,21,64,,,,27,,,"superMega",1,1,1,"","14",8.265411,,,"","","","","","","","","","","","",4,3,"Scholarly","4300000.00"
39,"Sand Cats","Kerwin","Arches",1,1,55,13,16,82,,60,62,80,35,23,6,"superMega","",1,1,"","45",4.668097,"Workhorse","Competitive","","","","",1,"",1,"","",1,1,"",3,2,"","11200000.00"
40,"Sirloins","Shay","Dee",1,3,29,17,32,94,,84,51,95,31,19,7,"superMega",1,"","","","24",82.22245,"Falls Behind","Scholarly","Stimulated","Crafty","","",1,"","",1,"",1,"",1,2,1,"Crafty","11100000.00"
41,"Grapplers","Bertram","Haftberger III",1,1,14,18,35,58,,18,54,29,29,18,6,"superMega","",1,1,"","50",14.48132,"Pick Officer","Crafty","","","","",1,"","",1,"",1,1,"",2,1,"Crafty","#N/A"
42,"Grapplers","Marco","Demarco",8,,71,37,86,67,66,,,,36,4,7,"superMega","","","",11,"4",5.913361,"Whiffer","Competitive","Big Hack","Scholarly","","","","","","","","","","",4,3,"Spirited","7500000.00"
43,"Hot Corners","Seymour","Socks",9,,7,58,85,62,94,,,,32,27,6,"superMega","",1,1,11,"65",72.25333,"Base Rounder","Disciplined","Bunter","Scholarly","","","","","","","","","","",4,3,"Crafty","4800000.00"
44,"Grapplers","Perd","Lovelorn",1,1,16,3,12,50,,30,90,86,29,19,7,"superMega","",1,"","","40",2.96098,"Falls Behind","Scholarly","","","","",1,"","",1,1,1,"","",3,2,"Scholarly","8800000.00"
45,"Grapplers","Eduardo","Electro",6,,60,8,81,76,78,,,,29,10,8,"superMega","",1,1,4,"9",7.714449,"Fastball Hitter","Disciplined","","","","","","","","","","","","",4,3,"Spirited","5300000.00"
46,"Grapplers","Ali","Finderre",5,,60,92,66,61,80,,,,38,36,6,"superMega",1,1,"",6,"15",73.73692,"Cannon Arm","Competitive","","","","","","","","","","","","",4,3,"Scholarly","10800000.00"
47,"Grapplers","Biff","Noggins",7,,61,42,55,37,73,,,,21,28,6,"superMega","",1,"",2,"26",82.14558,"Distractor","Crafty","","","","","","","","","","","","",4,3,"","5100000.00"
48,"Grapplers","Jefe","Manzano",7,,39,49,67,67,56,,,,37,4,6,"superMega","","","",11,"28",74.30332,"Tough Out","Competitive","","","","","","","","","","","","",4,3,"Scholarly","5200000.00"
49,"Grapplers","Joven","Bambino",9,,94,60,76,71,80,,,,27,8,7,"superMega","",1,"",7,"25",78.53674,"Bad Jumps","Crafty","","","","","","","","","","","","",4,3,"Scholarly","11400000.00"
50,"Sand Cats","Jess","Fowl",3,,62,35,88,90,64,,,,22,3,3,"superMega",1,1,1,5,"12",86.02109999999999,"Low Pitch","Disciplined","","","","","","","","","","","","",4,3,"Disciplined","7100000.00"
51,"Grapplers","Hiro","Misano",1,1,5,23,49,63,,30,42,69,22,32,7,"superMega","",1,"","","37",81.6681,"Choker","Spirited","","","","",1,1,"",1,"",1,1,"",2,3,"Disciplined","4500000.00"
52,"Grapplers","Rallie","Overro",1,3,53,8,23,69,,85,77,98,32,20,6,"superMega","",1,1,"","57",20.17146,"Rally Stopper","Spirited","","","","",1,"","",1,"",1,"","",4,2,"","15300000.00"
53,"Grapplers","Tucker","Turlington",1,3,12,8,7,40,,53,85,51,37,22,21,"superMega","","","","","42",85.0211,"Elite FK","Scholarly","Clutch","Spirited","","",1,"","","",1,1,1,"",1,3,"Spirited","7900000.00"
54,"Grapplers","Grizz","Senioro",2,,15,32,63,71,90,,,,39,38,6,"superMega","",1,"","","11",15.00329,"Sign Stealer","Crafty","","","","","","","","","","","","",4,3,"Disciplined","3900000.00"
55,"Grapplers","Marla","Moore",2,,29,44,8,64,76,,,,27,33,25,"superMega",1,1,2,3,"27",18.59105,"Consistent","Disciplined","","","","","","","","","","","","",4,3,"Spirited","3300000.00"
56,"Jacks","Chico","Lapada",1,4,8,17,24,71,,79,96,62,31,6,7,"superMega","",1,"","","97",14.17146,"BB Prone","Disciplined","Easy Jumps","Crafty","","",1,"","","","","",1,1,"","","Scholarly","9400000.00"
57,"Grapplers","Zoom","Delacruz",4,,59,9,97,94,46,,,,28,12,11,"superMega",1,1,1,6,"17",12.78365,"Little Hack","Scholarly","","","","","","","","","","","","",4,3,"Crafty","5500000.00"
58,"Grapplers","Ben","Kringer",3,,46,63,59,59,72,,,,27,13,6,"superMega","",1,1,"","29",9.265411,"Rally Starter","Spirited","Slow Poke","Competitive","","","","","","","","","","",4,3,"Crafty","5000000.00"
59,"Grapplers","Lola","Nopps",1,2,14,51,18,68,,71,27,55,24,,,"superMega",1,"","","","44",71.19608,,,"","","","",1,1,"","","",1,1,"",3,3,"Scholarly","5100000.00"
60,"Grapplers","Mack","Gunn",1,3,11,7,17,79,,98,68,75,29,19,6,"superMega","",1,1,"","56",23.77176,"Gets Ahead","Scholarly","Elite CF","Scholarly","","",1,"","","","",1,"",1,4,2,"Disciplined","14000000.00"
61,"Freebooters","Angel","Verde",1,1,3,19,13,67,,64,59,84,21,,,"superMega","",1,1,"","57",77.59105,,,"","","","",1,"","",1,"",1,1,1,2,1,"Disciplined","10500000.00"
62,"Freebooters","Sturdy","Woodman",3,,63,83,38,39,38,,,,38,34,6,"superMega","","","","","24",9.883417,"Durable","Competitive","","","","","","","","","","","","",4,3,"Disciplined","6600000.00"
63,"Freebooters","Stockton","Brickhouse",8,,76,94,53,27,49,,,,24,16,6,"superMega","",1,1,11,"30",69.73692,"Ace Exterminator","Scholarly","","","","","","","","","","","","",4,3,"Scholarly","9900000.00"
64,"Freebooters","Oakley","Stiffs",9,,87,67,43,29,80,,,,37,1,0,"superMega","",1,1,11,"20",28.53674,"CON vs RHP","Spirited","Bad Ball Hitter","Crafty","","","","","","","","","","",4,3,"Scholarly","8900000.00"
65,"Freebooters","Jermaine","Raines",2,,41,69,16,79,53,,,,29,14,6,"superMega","",1,1,3,"13",6.145578,"First Pitch Slayer","Competitive","","","","","","","","","","","","",4,3,"","5100000.00"
66,"Freebooters","Patience","Evergreen",7,,54,79,54,52,45,,,,27,14,7,"superMega",1,1,"",9,"9",10.81684,"First Pitch Prayer","Competitive","","","","","","","","","","","","",4,3,"Disciplined","5800000.00"
67,"Jacks","Downtown","Upton",3,,65,67,48,50,31,,,,37,1,0,"superMega","",1,"",2,"44",27.71445,"CON vs RHP","Spirited","","","","","","","","","","","","",4,3,"Disciplined","6700000.00"
68,"Freebooters","Steamboat","Wisselle",1,3,2,12,33,32,,86,79,62,28,19,6,"superMega","",1,1,"","38",76.84963,"Gets Ahead","Scholarly","Elite 4F","Scholarly","","",1,1,"","","",1,"","",3,2,"","12000000.00"
69,"Freebooters","Badhop","Brown",5,,57,83,20,12,34,,,,26,29,7,"superMega","",1,1,"","25",23.196079999999995,"Butterfingers","Disciplined","","","","","","","","","","","","",4,3,"Spirited","3900000.00"
70,"Freebooters","Gunns","Jackman",6,,93,84,47,46,54,,,,32,2,6,"superMega","",1,1,4,"27",83.01807,"RBI Hero","Spirited","Consistent","Disciplined","","","","","","","","","","",4,3,"","10600000.00"
71,"Sand Cats","Maverick","McMann",1,3,5,15,53,58,,79,97,62,21,7,7,"superMega","",1,1,"","28",85.26541,"K Neglecter","Competitive","","","","",1,"","","","",1,1,"",1,3,"Spirited","11000000.00"
72,"Freebooters","Lana","Rhymes",1,1,50,5,29,46,,23,66,51,31,20,7,"superMega",1,1,1,"","29",84.96097999999999,"Surrounded","Spirited","","","","",1,1,"","","",1,1,"",3,3,"Disciplined","4100000.00"
73,"Freebooters","Kache","Baskette",7,,41,50,58,53,72,,,,22,0,1,"superMega",1,1,2,11,"26",14.34264,"POW vs LHP","Spirited","CON vs LHP","Spirited","","","","","","","","","","",4,3,"","5700000.00"
74,"Freebooters","Winnie","Noelle",1,1,21,27,17,60,,77,64,70,31,23,6,"superMega",1,1,1,"","47",24.0211,"Workhorse","Competitive","","","","",1,1,"",1,"","",1,"","",1,"Spirited","11900000.00"
75,"Freebooters","Rocky","Backstop",2,,24,85,46,41,17,,,,29,,,"superMega","",1,1,5,"65",27.088159999999995,,,"","","","","","","","","","","","",4,3,"Spirited","3400000.00"
76,"Freebooters","Kay","Frequin",1,4,8,2,32,34,,99,84,97,31,7,6,"superMega",1,"",1,"","49",16.6681,"K Collector","Competitive","Elite 2F","Scholarly","","","",1,1,"","","","","",4,2,"Crafty","16000000.00"
77,"Freebooters","Walker","Runs",4,,46,55,88,48,16,,,,20,13,6,"superMega","",1,1,10,"23",17.22245,"Rally Starter","Spirited","","","","","","","","","","","","",4,3,"","5600000.00"
78,"Freebooters","Landon","Fare",4,,44,42,49,67,55,,,,28,15,6,"superMega","",1,1,6,"15",26.26541,"Pinch perfect","Disciplined","","","","","","","","","","","","",4,3,"Spirited","3700000.00"
79,"Freebooters","Kent","Ratherswell",1,2,1,13,37,16,,35,60,74,29,25,6,"superMega","","","","","59",4.495979,"Metal Head","Disciplined","","","","",1,"","",1,1,1,1,"",1,3,"Crafty","6200000.00"
80,"Freebooters","Grace","Loopinovich",1,3,2,2,32,50,,65,72,68,36,5,12,"superMega",1,1,1,"","34",25.851639999999996,"Specialist","Crafty","Elite CF","Scholarly","","",1,"","",1,"",1,"",1,2,2,"Spirited","10600000.00"
81,"Blowfish","Bartholomew","Draculo",1,1,37,7,24,43,,65,45,79,37,19,7,"superMega","",1,1,"","44",70.96098,"Falls Behind","Scholarly","Volatile","Disciplined","","",1,1,"","",1,1,"","",3,1,"Disciplined","7300000.00"
82,"Blowfish","Shania","Burns",1,1,19,2,15,52,,52,50,72,27,,,"superMega",1,"","","","30",1.849635,,,"","","","",1,"","",1,1,1,1,"",1,3,"Spirited","7100000.00"
83,"Blowfish","Wanda","Dregler",1,1,22,5,16,71,,51,59,95,32,20,7,"superMega",1,1,"","","59",25.30332,"Surrounded","Spirited","Elite CH","Scholarly","","",1,1,"",1,"",1,1,"",1,2,"Spirited","10700000.00"
84,"Blowfish","Shayanne","Hill",4,,35,83,91,70,21,,,,32,17,6,"superMega",1,1,1,5,"15",75.78365,"Mind Gamer","Crafty","","","","","","","","","","","","",4,3,"Disciplined","8300000.00"
85,"Blowfish","Elvis","Stanley",6,,68,80,75,87,77,,,,28,32,6,"superMega","",1,2,4,"22",72.6681,"Clutch","Spirited","","","","","","","","","","","","",4,3,"Spirited","14700000.00"
86,"Blowfish","Julio","Huper",1,4,24,46,5,50,,55,77,39,25,5,12,"superMega","","",1,"","57",80.17146,"Specialist","Crafty","Elite CF","Scholarly","","",1,1,"","","",1,"",1,2,3,"","6600000.00"
87,"Blowfish","Jose","Carloco",3,,76,98,35,13,11,,,,29,,,"superMega","",1,1,"","27",83.26541,,,"","","","","","","","","","","","",4,3,"","6500000.00"
88,"Blowfish","Sting","McGee",2,,52,85,57,74,68,,,,36,,,"superMega","",1,"","","10",86.08816,,,"","","","","","","","","","","","",4,3,"Crafty","9800000.00"
89,"Blowfish","Rod","Forth",9,,18,97,95,36,42,,,,31,28,6,"superMega","",1,"",2,"4",6.913361,"Distractor","Crafty","","","","","","","","","","","","",4,3,"Disciplined","7600000.00"
90,"Blowfish","Alfonzo","Delgado",5,,37,47,66,66,78,,,,27,27,6,"superMega","",1,2,3,"17",88.22244999999998,"Base Rounder","Disciplined","","","","","","","","","","","","",4,3,"","5100000.00"
91,"Blowfish","Nirub","Oowanga",9,,61,84,83,70,53,,,,28,14,7,"superMega","","",2,11,"31",3.021098,"First Pitch Prayer","Competitive","","","","","","","","","","","","",4,3,"","10800000.00"
92,"Blowfish","Keg","Gutterson",5,,70,97,39,39,68,,,,31,2,6,"superMega","",1,1,6,"24",8.591051,"RBI Hero","Spirited","","","","","","","","","","","","",4,3,"Spirited","8600000.00"
93,"Jacks","Batch","Wilson",8,,39,75,52,77,71,,,,38,11,6,"superMega","","","",11,"13",26.91936,"Bad Ball Hitter","Crafty","","","","","","","","","","","","",4,3,"Spirited","7100000.00"
94,"Heaters","Simba","Delano",1,3,12,12,53,24,,58,32,29,26,20,6,"superMega","",1,1,"","43",72.73634,"Rally Stopper","Spirited","","","","",1,"","",1,"","","","","",2,"Disciplined","2500000.00"
95,"Hot Corners","Randy","Mann",4,,70,65,46,20,54,,,,27,12,11,"superMega","",1,"",6,"69",8.275166,"Little Hack","Scholarly","","","","","","","","","","","","",4,3,"Crafty","6400000.00"
96,"Blowfish","Harry","Backman",2,,95,71,58,33,39,,,,31,4,7,"superMega","",1,2,3,"26",73.88342,"Whiffer","Competitive","","","","","","","","","","","","",4,3,"Scholarly","10000000.00"
97,"Blowfish","Joanna","Heater",1,3,27,2,8,16,,97,10,69,22,22,14,"superMega",1,1,"","","41",85.19608,"Elite 4F","Scholarly","Wild Thing","Spirited","","",1,"","",1,"",1,"","","",1,"Spirited","5600000.00"
98,"Blowfish","Marvin","Steed",7,,74,79,86,65,27,,,,36,0,0,"superMega","","","",11,"66",12.14558,"POW vs RHP","Spirited","Sprinter","Competitive","","","","","","","","","","",4,3,"Disciplined","12400000.00"
99,"Blowfish","Lad","Bradwick",1,1,3,97,34,81,,78,60,63,21,,,"superMega","",1,1,"","29",7.476926,,,"","","","",1,"","",1,"","",1,"",4,2,"Spirited","9700000.00"
100,"Blowfish","Mindy","Marshwater",1,3,3,21,25,60,,33,41,45,26,22,20,"superMega",1,"","","","45",69.34264,"Elite SB","Scholarly","","","","",1,"",1,"","",1,"","",4,3,"Scholarly","2900000.00"
101,"Buzzards","Erlang","Elwood",1,1,5,10,14,84,,52,41,46,29,22,15,"superMega","","","","","36",16.76181,"Elite 2F","Scholarly","","","","",1,1,"",1,"",1,1,"",3,3,"Scholarly","5000000.00"
102,"Hot Corners","Geronimo","James",8,,18,74,76,97,80,,,,29,1,0,"superMega","","","",11,"13",16.77298,"CON vs RHP","Spirited","","","","","","","","","","","","",4,3,"Disciplined","7800000.00"
103,"Buzzards","Danno","Yoshida",9,,60,69,57,84,97,,,,21,,,"superMega","",1,"",2,"25",9.328777,,,"","","","","","","","","","","","",4,3,"Crafty","9400000.00"
104,"Buzzards","Mario","Mustaccio",5,,72,63,69,88,79,,,,25,35,6,"superMega","",1,"",6,"29",77.54022,"Stimulated","Crafty","Dive Wizard","Spirited","","","","","","","","","","",4,3,"Disciplined","10900000.00"
105,"Buzzards","Emilio","Idoya",4,,28,35,82,85,81,,,,31,3,5,"superMega","",1,"",13,"22",10.885039999999998,"Outside Pitch","Disciplined","Utility","Scholarly","","","","","","","","","","",4,3,"Crafty","6200000.00"
106,"Buzzards","Buttons","Bunterson",6,,46,99,92,92,82,,,,25,26,6,"superMega","",1,1,5,"69",28.051149999999996,"Sprinter","Competitive","Bunter","Scholarly","","","","","","","","","","",4,3,"","14100000.00"
107,"Buzzards","Helena","Bigsby",3,,59,91,25,45,47,,,,31,,,"superMega",1,1,2,"","34",8.302668,,,"","","","","","","","","","","","",4,3,"Crafty","7000000.00"
108,"Buzzards","Meat","Commonly",1,3,5,10,20,54,,69,20,18,38,31,7,"superMega","",1,"","","46",73.01314,"Wild Thing","Spirited","","","","",1,1,"","","",1,"",1,1,2,"Spirited","2000000.00"
109,"Buzzards","Rolf","Borgnar",7,,49,66,65,82,77,,,,37,2,7,"superMega","","","",11,"28",15.99742,"RBI Zero","Spirited","","","","","","","","","","","","",4,3,"Disciplined","7200000.00"
110,"Buzzards","Joseph","Trunk",3,,68,77,67,77,42,,,,23,32,7,"superMega","","",1,7,"42",74.44419,"Choker","Spirited","","","","","","","","","","","","",4,3,"Spirited","8100000.00"
111,"Buzzards","Sebastian","Morrow",1,2,21,13,22,55,,55,53,54,28,5,13,"superMega","",1,"","","10",82.64308,"Reverse Splits","Crafty","","","","",1,"","",1,"","",1,"",2,1,"Scholarly","6300000.00"
112,"Sand Cats","Kandi","Sweet",1,1,15,3,29,53,,50,45,35,30,18,6,"superMega",1,"","","","48",28.59105,"Pick Officer","Crafty","Gets Ahead","Scholarly","","",1,1,"","","",1,1,"",1,1,"Spirited","4500000.00"
113,"Heaters","Kimme","Smoke",2,,53,54,78,68,50,,,,25,33,26,"superMega",1,1,"",3,"12",26.64308,"Volatile","Disciplined","","","","","","","","","","","","",4,3,"","7000000.00"
114,"Buzzards","Meow","Bubbkins",1,1,4,26,16,77,,44,53,75,29,22,20,"superMega",1,"",1,"","45",19.67968,"Elite SB","Scholarly","Volatile","Disciplined","","",1,"",1,1,"",1,1,"",2,1,"Scholarly","7600000.00"
115,"Buzzards","Ham","Slamous",6,,73,56,46,53,75,,,,22,,,"superMega","",1,"",4,"27",86.34786,,,"","","","","","","","","","","","",4,3,"","7100000.00"
116,"Buzzards","Leyla","Buckberger",1,4,19,14,23,68,,52,81,50,27,20,6,"superMega",1,1,"","","19",24.434709999999995,"Rally Stopper","Spirited","","","","",1,"","","","",1,"","",4,2,"Spirited","5600000.00"
117,"Buzzards","Jacques","O'Ften",2,,87,49,69,76,81,,,,36,14,6,"superMega","",1,"","","23",83.95911,"First Pitch Slayer","Competitive","Consistent","Disciplined","","","","","","","","","","",4,3,"Disciplined","12300000.00"
118,"Buzzards","Sloop","Whoopity",4,,29,73,83,58,53,,,,20,13,6,"superMega","",1,1,5,"3",23.77298,"Rally Starter","Spirited","","","","","","","","","","","","",4,3,"Crafty","6200000.00"
119,"Buzzards","Hannah","Hogswind",1,1,4,19,56,98,,32,15,61,27,,,"superMega",1,1,1,"","32",27.68162,,,"","","","",1,"","",1,"",1,"",1,"",3,"Crafty","2800000.00"
120,"Buzzards","Max","Texis",1,3,2,16,17,93,,85,76,57,37,21,7,"superMega","","","","","4",26.25334,"Crossed Up","Scholarly","","","","",1,"","","","",1,1,"",4,3,"Spirited","9300000.00"
121,"Moonstars","Alisha","Woodrow",1,1,30,4,23,64,,87,77,99,31,19,6,"superMega",1,1,1,"","19",22.33006,"Gets Ahead","Scholarly","","","","",1,1,"",1,"",1,1,"",3,3,"","19700000.00"
122,"Moonstars","Slip","Sauder",1,1,3,11,39,43,,82,88,87,29,,,"superMega","","",1,"","71",73.68163,,,"","","","",1,1,"",1,"","",1,1,"",2,"Disciplined","17200000.00"
123,"Heaters","Elmo","Slayer",1,1,16,0,7,79,,72,94,95,23,7,6,"superMega","","","","","38",19.33006,"K Collector","Competitive","","","","",1,"","",1,1,1,1,"","",1,"Crafty","19300000.00"
124,"Moonstars","Pepe","Vinicio",4,,27,61,82,74,32,,,,22,11,6,"superMega","",1,1,5,"25",82.27516,"Bad Ball Hitter","Crafty","","","","","","","","","","","","",4,3,"","5200000.00"
125,"Hot Corners","Lars","Stadkleef",2,,37,34,6,74,60,,,,32,,,"superMega","",1,1,3,"21",0.05114982999999999,,,"","","","","","","","","","","","",4,3,"","2300000.00"
126,"Moonstars","Rusty","Bustum",3,,63,79,29,26,21,,,,19,,,"superMega","",1,1,"","27",74.34786,,,"","","","","","","","","","","","",4,3,"Crafty","4300000.00"
127,"Moonstars","Lacky","Luster",9,,49,57,71,44,66,,,,29,8,7,"superMega","",1,1,2,"10",13.67699,"Bad Jumps","Crafty","Slow Poke","Competitive","","","","","","","","","","",4,3,"Scholarly","4700000.00"
