"localID","teamName","firstName","lastName","primaryPosition","pitcherRole","power","contact","speed","fielding","arm","velocity","junk","accuracy","age","trait","subType","gender","throws","bats","fourSeamFastball","twoSeamFastball","screwball","changeup","forkball","curveball","slider","cutFastball","windup","pitchAngle","rating","league","trait1","chemistry1","trait2","chemistry2"
44,"Grapplers","Perd","Lovelorn",1,1,16,3,12,50,,30,90,86,29,19,7,0,1,0,1,0,0,1,1,1,0,0,3,2,2.96098,"superMega","Falls Behind","Scholarly","",""
45,"Grapplers","Eduardo","Electro",6,,60,8,81,76,78,,,,29,10,8,0,1,1,,,,,,,,,4,3,7.714449,"superMega","Fastball Hitter","Disciplined","",""
46,"Grapplers","Ali","Finderre",5,,60,92,66,61,80,,,,38,36,6,1,1,0,,,,,,,,,4,3,73.73692,"superMega","Cannon Arm","Competitive","",""
47,"Grapplers","Biff","Noggins",7,,61,42,55,37,73,,,,21,28,6,0,1,0,,,,,,,,,4,3,82.14558,"superMega","Distractor","Crafty","",""
48,"Grapplers","Jefe","Manzano",7,,39,49,67,67,56,,,,37,4,6,0,0,0,,,,,,,,,4,3,74.30332,"superMega","Tough Out","Competitive","",""
49,"Grapplers","Joven","Bambino",9,,94,60,76,71,80,,,,27,8,7,0,1,0,,,,,,,,,4,3,78.53674,"superMega","Bad Jumps","Crafty","",""
50,"Sand Cats","Jess","Fowl",3,,62,35,88,90,64,,,,22,3,3,1,1,1,,,,,,,,,4,3,86.02109999999999,"superMega","Low Pitch","Disciplined","",""
51,"Grapplers","Hiro","Misano",1,1,5,23,49,63,,30,42,69,22,32,7,0,1,0,1,1,0,1,0,1,1,0,2,3,81.6681,"superMega","Choker","Spirited","",""
52,"Grapplers","Rallie","Overro",1,3,53,8,23,69,,85,77,98,32,20,6,0,1,1,1,0,0,1,0,1,0,0,4,2,20.17146,"superMega","Rally Stopper","Spirited","",""
53,"Grapplers","Tucker","Turlington",1,3,12,8,7,40,,53,85,51,37,22,21,0,0,0,1,0,0,0,1,1,1,0,1,3,85.0211,"superMega","Elite FK","Scholarly","Clutch","Spirited"
54,"Grapplers","Grizz","Senioro",2,,15,32,63,71,90,,,,39,38,6,0,1,0,,,,,,,,,4,3,15.00329,"superMega","Sign Stealer","Crafty","",""
55,"Grapplers","Marla","Moore",2,,29,44,8,64,76,,,,27,33,25,1,1,2,,,,,,,,,4,3,18.59105,"superMega","Consistent","Disciplined","",""
56,"Jacks","Chico","Lapada",1,4,8,17,24,71,,79,96,62,31,6,7,0,1,0,1,0,0,0,0,0,1,1,0,0,14.17146,"superMega","BB Prone","Disciplined","Easy Jumps","Crafty"
57,"Grapplers","Zoom","Delacruz",4,,59,9,97,94,46,,,,28,12,11,1,1,1,,,,,,,,,4,3,12.78365,"superMega","Little Hack","Scholarly","",""
58,"Grapplers","Ben","Kringer",3,,46,63,59,59,72,,,,27,13,6,0,1,1,,,,,,,,,4,3,9.265411,"superMega","Rally Starter","Spirited","Slow Poke","Competitive"
59,"Grapplers","Lola","Nopps",1,2,14,51,18,68,,71,27,55,24,,,1,0,0,1,1,0,0,0,1,1,0,3,3,71.19608,"superMega",,,"",""
60,"Grapplers","Mack","Gunn",1,3,11,7,17,79,,98,68,75,29,19,6,0,1,1,1,0,0,0,0,1,0,1,4,2,23.77176,"superMega","Gets Ahead","Scholarly","Elite CF","Scholarly"
61,"Freebooters","Angel","Verde",1,1,3,19,13,67,,64,59,84,21,,,0,1,1,1,0,0,1,0,1,1,1,2,1,77.59105,"superMega",,,"",""
62,"Freebooters","Sturdy","Woodman",3,,63,83,38,39,38,,,,38,34,6,0,0,0,,,,,,,,,4,3,9.883417,"superMega","Durable","Competitive","",""
63,"Freebooters","Stockton","Brickhouse",8,,76,94,53,27,49,,,,24,16,6,0,1,1,,,,,,,,,4,3,69.73692,"superMega","Ace Exterminator","Scholarly","",""
64,"Freebooters","Oakley","Stiffs",9,,87,67,43,29,80,,,,37,1,0,0,1,1,,,,,,,,,4,3,28.53674,"superMega","CON vs RHP","Spirited","Bad Ball Hitter","Crafty"
65,"Freebooters","Jermaine","Raines",2,,41,69,16,79,53,,,,29,14,6,0,1,1,,,,,,,,,4,3,6.145578,"superMega","First Pitch Slayer","Competitive","",""
66,"Freebooters","Patience","Evergreen",7,,54,79,54,52,45,,,,27,14,7,1,1,0,,,,,,,,,4,3,10.81684,"superMega","First Pitch Prayer","Competitive","",""
67,"Jacks","Downtown","Upton",3,,65,67,48,50,31,,,,37,1,0,0,1,0,,,,,,,,,4,3,27.71445,"superMega","CON vs RHP","Spirited","",""
68,"Freebooters","Steamboat","Wisselle",1,3,2,12,33,32,,86,79,62,28,19,6,0,1,1,1,1,0,0,0,1,0,0,3,2,76.84963,"superMega","Gets Ahead","Scholarly","Elite 4F","Scholarly"
69,"Freebooters","Badhop","Brown",5,,57,83,20,12,34,,,,26,29,7,0,1,1,,,,,,,,,4,3,23.196079999999995,"superMega","Butterfingers","Disciplined","",""
70,"Freebooters","Gunns","Jackman",6,,93,84,47,46,54,,,,32,2,6,0,1,1,,,,,,,,,4,3,83.01807,"superMega","RBI Hero","Spirited","Consistent","Disciplined"
71,"Sand Cats","Maverick","McMann",1,3,5,15,53,58,,79,97,62,21,7,7,0,1,1,1,0,0,0,0,1,1,0,1,3,85.26541,"superMega","K Neglecter","Competitive","",""
72,"Freebooters","Lana","Rhymes",1,1,50,5,29,46,,23,66,51,31,20,7,1,1,1,1,1,0,0,0,1,1,0,3,3,84.96097999999999,"superMega","Surrounded","Spirited","",""
73,"Freebooters","Kache","Baskette",7,,41,50,58,53,72,,,,22,0,1,1,1,2,,,,,,,,,4,3,14.34264,"superMega","POW vs LHP","Spirited","CON vs LHP","Spirited"
74,"Freebooters","Winnie","Noelle",1,1,21,27,17,60,,77,64,70,31,23,6,1,1,1,1,1,0,1,0,0,1,0,0,1,24.0211,"superMega","Workhorse","Competitive","",""
75,"Freebooters","Rocky","Backstop",2,,24,85,46,41,17,,,,29,,,0,1,1,,,,,,,,,4,3,27.088159999999995,"superMega",,,"",""
76,"Freebooters","Kay","Frequin",1,4,8,2,32,34,,99,84,97,31,7,6,1,0,1,0,1,1,0,0,0,0,0,4,2,16.6681,"superMega","K Collector","Competitive","Elite 2F","Scholarly"
77,"Freebooters","Walker","Runs",4,,46,55,88,48,16,,,,20,13,6,0,1,1,,,,,,,,,4,3,17.22245,"superMega","Rally Starter","Spirited","",""
78,"Freebooters","Landon","Fare",4,,44,42,49,67,55,,,,28,15,6,0,1,1,,,,,,,,,4,3,26.26541,"superMega","Pinch perfect","Disciplined","",""
79,"Freebooters","Kent","Ratherswell",1,2,1,13,37,16,,35,60,74,29,25,6,0,0,0,1,0,0,1,1,1,1,0,1,3,4.495979,"superMega","Metal Head","Disciplined","",""
80,"Freebooters","Grace","Loopinovich",1,3,2,2,32,50,,65,72,68,36,5,12,1,1,1,1,0,0,1,0,1,0,1,2,2,25.851639999999996,"superMega","Specialist","Crafty","Elite CF","Scholarly"
81,"Blowfish","Bartholomew","Draculo",1,1,37,7,24,43,,65,45,79,37,19,7,0,1,1,1,1,0,0,1,1,0,0,3,1,70.96098,"superMega","Falls Behind","Scholarly","Volatile","Disciplined"
82,"Blowfish","Shania","Burns",1,1,19,2,15,52,,52,50,72,27,,,1,0,0,1,0,0,1,1,1,1,0,1,3,1.849635,"superMega",,,"",""
83,"Blowfish","Wanda","Dregler",1,1,22,5,16,71,,51,59,95,32,20,7,1,1,0,1,1,0,1,0,1,1,0,1,2,25.30332,"superMega","Surrounded","Spirited","Elite CH","Scholarly"
84,"Blowfish","Shayanne","Hill",4,,35,83,91,70,21,,,,32,17,6,1,1,1,,,,,,,,,4,3,75.78365,"superMega","Mind Gamer","Crafty","",""
85,"Blowfish","Elvis","Stanley",6,,68,80,75,87,77,,,,28,32,6,0,1,2,,,,,,,,,4,3,72.6681,"superMega","Clutch","Spirited","",""
86,"Blowfish","Julio","Huper",1,4,24,46,5,50,,55,77,39,25,5,12,0,0,1,1,1,0,0,0,1,0,1,2,3,80.17146,"superMega","Specialist","Crafty","Elite CF","Scholarly"
87,"Blowfish","Jose","Carloco",3,,76,98,35,13,11,,,,29,,,0,1,1,,,,,,,,,4,3,83.26541,"superMega",,,"",""
88,"Blowfish","Sting","McGee",2,,52,85,57,74,68,,,,36,,,0,1,0,,,,,,,,,4,3,86.08816,"superMega",,,"",""
89,"Blowfish","Rod","Forth",9,,18,97,95,36,42,,,,31,28,6,0,1,0,,,,,,,,,4,3,6.913361,"superMega","Distractor","Crafty","",""
90,"Blowfish","Alfonzo","Delgado",5,,37,47,66,66,78,,,,27,27,6,0,1,2,,,,,,,,,4,3,88.22244999999998,"superMega","Base Rounder","Disciplined","",""
91,"Blowfish","Nirub","Oowanga",9,,61,84,83,70,53,,,,28,14,7,0,0,2,,,,,,,,,4,3,3.021098,"superMega","First Pitch Prayer","Competitive","",""
92,"Blowfish","Keg","Gutterson",5,,70,97,39,39,68,,,,31,2,6,0,1,1,,,,,,,,,4,3,8.591051,"superMega","RBI Hero","Spirited","",""
93,"Jacks","Batch","Wilson",8,,39,75,52,77,71,,,,38,11,6,0,0,0,,,,,,,,,4,3,26.91936,"superMega","Bad Ball Hitter","Crafty","",""
94,"Heaters","Simba","Delano",1,3,12,12,53,24,,58,32,29,26,20,6,0,1,1,1,0,0,1,0,0,0,0,0,2,72.73634,"superMega","Rally Stopper","Spirited","",""
95,"Hot Corners","Randy","Mann",4,,70,65,46,20,54,,,,27,12,11,0,1,0,,,,,,,,,4,3,8.275166,"superMega","Little Hack","Scholarly","",""
96,"Blowfish","Harry","Backman",2,,95,71,58,33,39,,,,31,4,7,0,1,2,,,,,,,,,4,3,73.88342,"superMega","Whiffer","Competitive","",""
97,"Blowfish","Joanna","Heater",1,3,27,2,8,16,,97,10,69,22,22,14,1,1,0,1,0,0,1,0,1,0,0,0,1,85.19608,"superMega","Elite 4F","Scholarly","Wild Thing","Spirited"
98,"Blowfish","Marvin","Steed",7,,74,79,86,65,27,,,,36,0,0,0,0,0,,,,,,,,,4,3,12.14558,"superMega","POW vs RHP","Spirited","Sprinter","Competitive"
99,"Blowfish","Lad","Bradwick",1,1,3,97,34,81,,78,60,63,21,,,0,1,1,1,0,0,1,0,0,1,0,4,2,7.476926,"superMega",,,"",""
100,"Blowfish","Mindy","Marshwater",1,3,3,21,25,60,,33,41,45,26,22,20,1,0,0,1,0,1,0,0,1,0,0,4,3,69.34264,"superMega","Elite SB","Scholarly","",""
101,"Buzzards","Erlang","Elwood",1,1,5,10,14,84,,52,41,46,29,22,15,0,0,0,1,1,0,1,0,1,1,0,3,3,16.76181,"superMega","Elite 2F","Scholarly","",""
102,"Hot Corners","Geronimo","James",8,,18,74,76,97,80,,,,29,1,0,0,0,0,,,,,,,,,4,3,16.77298,"superMega","CON vs RHP","Spirited","",""
103,"Buzzards","Danno","Yoshida",9,,60,69,57,84,97,,,,21,,,0,1,0,,,,,,,,,4,3,9.328777,"superMega",,,"",""
104,"Buzzards","Mario","Mustaccio",5,,72,63,69,88,79,,,,25,35,6,0,1,0,,,,,,,,,4,3,77.54022,"superMega","Stimulated","Crafty","Dive Wizard","Spirited"
105,"Buzzards","Emilio","Idoya",4,,28,35,82,85,81,,,,31,3,5,0,1,0,,,,,,,,,4,3,10.885039999999998,"superMega","Outside Pitch","Disciplined","Utility","Scholarly"
106,"Buzzards","Buttons","Bunterson",6,,46,99,92,92,82,,,,25,26,6,0,1,1,,,,,,,,,4,3,28.051149999999996,"superMega","Sprinter","Competitive","Bunter","Scholarly"
107,"Buzzards","Helena","Bigsby",3,,59,91,25,45,47,,,,31,,,1,1,2,,,,,,,,,4,3,8.302668,"superMega",,,"",""
108,"Buzzards","Meat","Commonly",1,3,5,10,20,54,,69,20,18,38,31,7,0,1,0,1,1,0,0,0,1,0,1,1,2,73.01314,"superMega","Wild Thing","Spirited","",""
109,"Buzzards","Rolf","Borgnar",7,,49,66,65,82,77,,,,37,2,7,0,0,0,,,,,,,,,4,3,15.99742,"superMega","RBI Zero","Spirited","",""
110,"Buzzards","Joseph","Trunk",3,,68,77,67,77,42,,,,23,32,7,0,0,1,,,,,,,,,4,3,74.44419,"superMega","Choker","Spirited","",""
111,"Buzzards","Sebastian","Morrow",1,2,21,13,22,55,,55,53,54,28,5,13,0,1,0,1,0,0,1,0,0,1,0,2,1,82.64308,"superMega","Reverse Splits","Crafty","",""
112,"Sand Cats","Kandi","Sweet",1,1,15,3,29,53,,50,45,35,30,18,6,1,0,0,1,1,0,0,0,1,1,0,1,1,28.59105,"superMega","Pick Officer","Crafty","Gets Ahead","Scholarly"
113,"Heaters","Kimme","Smoke",2,,53,54,78,68,50,,,,25,33,26,1,1,0,,,,,,,,,4,3,26.64308,"superMega","Volatile","Disciplined","",""
114,"Buzzards","Meow","Bubbkins",1,1,4,26,16,77,,44,53,75,29,22,20,1,0,1,1,0,1,1,0,1,1,0,2,1,19.67968,"superMega","Elite SB","Scholarly","Volatile","Disciplined"
115,"Buzzards","Ham","Slamous",6,,73,56,46,53,75,,,,22,,,0,1,0,,,,,,,,,4,3,86.34786,"superMega",,,"",""
116,"Buzzards","Leyla","Buckberger",1,4,19,14,23,68,,52,81,50,27,20,6,1,1,0,1,0,0,0,0,1,0,0,4,2,24.434709999999995,"superMega","Rally Stopper","Spirited","",""
117,"Buzzards","Jacques","O'Ften",2,,87,49,69,76,81,,,,36,14,6,0,1,0,,,,,,,,,4,3,83.95911,"superMega","First Pitch Slayer","Competitive","Consistent","Disciplined"
118,"Buzzards","Sloop","Whoopity",4,,29,73,83,58,53,,,,20,13,6,0,1,1,,,,,,,,,4,3,23.77298,"superMega","Rally Starter","Spirited","",""
119,"Buzzards","Hannah","Hogswind",1,1,4,19,56,98,,32,15,61,27,,,1,1,1,1,0,0,1,0,1,0,1,0,3,27.68162,"superMega",,,"",""
120,"Buzzards","Max","Texis",1,3,2,16,17,93,,85,76,57,37,21,7,0,0,0,1,0,0,0,0,1,1,0,4,3,26.25334,"superMega","Crossed Up","Scholarly","",""
121,"Moonstars","Alisha","Woodrow",1,1,30,4,23,64,,87,77,99,31,19,6,1,1,1,1,1,0,1,0,1,1,0,3,3,22.33006,"superMega","Gets Ahead","Scholarly","",""
122,"Moonstars","Slip","Sauder",1,1,3,11,39,43,,82,88,87,29,,,0,0,1,1,1,0,1,0,0,1,1,0,2,73.68163,"superMega",,,"",""
123,"Heaters","Elmo","Slayer",1,1,16,0,7,79,,72,94,95,23,7,6,0,0,0,1,0,0,1,1,1,1,0,0,1,19.33006,"superMega","K Collector","Competitive","",""
124,"Moonstars","Pepe","Vinicio",4,,27,61,82,74,32,,,,22,11,6,0,1,1,,,,,,,,,4,3,82.27516,"superMega","Bad Ball Hitter","Crafty","",""
125,"Hot Corners","Lars","Stadkleef",2,,37,34,6,74,60,,,,32,,,0,1,1,,,,,,,,,4,3,0.05114982999999999,"superMega",,,"",""
126,"Moonstars","Rusty","Bustum",3,,63,79,29,26,21,,,,19,,,0,1,1,,,,,,,,,4,3,74.34786,"superMega",,,"",""
127,"Moonstars","Lacky","Luster",9,,49,57,71,44,66,,,,29,8,7,0,1,1,,,,,,,,,4,3,13.67699,"superMega","Bad Jumps","Crafty","Slow Poke","Competitive"
128,"Sand Cats","Rodney","Park",6,,27,77,69,61,72,,,,21,36,6,0,1,0,,,,,,,,,4,3,17.17146,"superMega","Cannon Arm","Competitive","",""
129,"Moonstars","Bert","Bergerer",1,3,15,1,10,21,,85,72,55,31,5,13,0,1,1,1,0,0,1,0,1,0,0,1,3,75.0515,"superMega","Reverse Splits","Crafty","",""
130,"Moonstars","Gustav","Gustavson",7,,83,57,27,30,45,,,,38,2,7,0,0,0,,,,,,,,,4,3,25.05115,"superMega","RBI Zero","Spirited","Fastball Hitter","Disciplined"
131,"Moonstars","Herbert","Hackman",5,,84,68,39,26,55,,,,28,12,10,0,1,1,,,,,,,,,4,3,84.64307999999998,"superMega","Big Hack","Scholarly","",""
132,"Moonstars","Clyde","Oliver",7,,37,65,34,64,35,,,,35,15,6,0,1,1,,,,,,,,,4,3,86.95910999999998,"superMega","Pinch perfect","Disciplined","",""
133,"Moonstars","Lil","Bupton",1,4,9,1,3,26,,54,96,64,32,7,6,0,0,0,1,0,0,0,0,0,1,0,4,3,80.43471,"superMega","K Collector","Competitive","Elite SL","Scholarly"
134,"Moonstars","Windy","Wheels",8,,47,58,94,63,46,,,,32,17,7,0,0,0,,,,,,,,,4,3,17.25334,"superMega","Easy Target","Crafty","Sprinter","Competitive"
135,"Moonstars","Raffy","Slaps",5,,54,40,51,52,54,,,,29,38,6,0,1,1,,,,,,,,,4,3,20.44419,"superMega","Sign Stealer","Crafty","",""
136,"Moonstars","Clubber","Buff",2,,75,45,42,29,63,,,,36,12,11,0,1,1,,,,,,,,,4,3,85.88504,"superMega","Little Hack","Scholarly","",""
137,"Moonstars","Taylor","McWhales",1,3,3,13,16,48,,99,51,62,31,20,6,0,1,1,1,1,0,0,0,1,0,0,1,2,8.328777,"superMega","Rally Stopper","Spirited","Durable","Competitive"
138,"Moonstars","Elija","Gobbleson",6,,41,45,29,64,72,,,,20,,,0,1,0,,,,,,,,,4,3,87.99348,"superMega",,,"",""
139,"Moonstars","Durn","Wonderfloss",1,1,18,11,2,89,,54,72,39,37,21,7,0,0,0,1,0,0,0,0,1,1,1,3,2,5.772984,"superMega","Crossed Up","Scholarly","",""
140,"Moonstars","Deft","Weddums",1,2,11,14,4,58,,44,47,69,26,22,17,0,1,1,1,0,0,0,0,1,1,0,2,1,88.38246999999998,"superMega","Elite CB","Scholarly","Metal Head","Disciplined"
141,"Wild Pigs","Wes","Yogurt",1,1,8,3,33,17,,74,75,85,29,22,19,0,1,1,1,0,0,1,0,0,0,1,0,1,69.99348,"superMega","Elite CH","Scholarly","",""
142,"Wild Pigs","Hugs","Lovell",1,1,33,4,74,38,,52,55,70,36,22,20,1,0,0,1,0,1,1,0,1,1,0,3,2,76.77298,"superMega","Elite SB","Scholarly","",""
143,"Sand Cats","Stracy","Wickers",2,,71,23,55,42,44,,,,36,28,6,1,1,1,,,,,,,,,4,3,82.78365,"superMega","Distractor","Crafty","",""
144,"Wild Pigs","Durbin","Holmes",1,1,4,15,17,55,,39,85,64,21,,,0,1,1,1,0,0,1,0,1,1,0,3,3,81.34786,"superMega",,,"",""
145,"Wild Pigs","Enrique","Goyo",7,,51,46,73,49,25,,,,19,8,7,0,1,0,,,,,,,,,4,3,18.38247,"superMega","Bad Jumps","Crafty","Base Rounder","Disciplined"
146,"Wild Pigs","Mannon","Moon",8,,62,26,87,53,50,,,,32,0,0,0,1,0,,,,,,,,,4,3,71.73634,"superMega","POW vs RHP","Spirited","",""
147,"Wild Pigs","Spanky","Wagnerd",3,,97,58,66,16,14,,,,28,14,6,0,1,0,,,,,,,,,4,3,80.99742,"superMega","First Pitch Slayer","Competitive","Butterfingers","Disciplined"
148,"Wild Pigs","Bloop","Michaels",6,,78,76,92,73,53,,,,25,11,6,0,1,1,,,,,,,,,4,3,2.444191,"superMega","Bad Ball Hitter","Crafty","Rally Starter","Spirited"
149,"Wild Pigs","Godfried","Storm",8,,48,37,55,35,83,,,,21,9,6,0,0,0,,,,,,,,,4,3,74.88504,"superMega","Utility","Scholarly","",""
150,"Wild Pigs","Rosy","Hardman",7,,93,30,47,36,31,,,,22,3,2,1,0,0,,,,,,,,,4,3,87.68163,"superMega","High Pitch","Disciplined","",""
151,"Heaters","Theodore","Stiffner",5,,87,39,94,37,45,,,,25,29,7,0,1,1,,,,,,,,,4,3,0.7729834,"superMega","Butterfingers","Disciplined","",""
